"","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21"
"FC1",0,0,5,42,4,0,0,1,0,0,0,0,60,0,0,0,0,0,14,0,0
"FE1",12,0,13,7,0,6,0,1,0,0,0,3,7,6,0,0,0,4,2,0,0
"FE2",238,47,623,36,46,140,0,16,0,4,6,21,28,9,1,0,0,11,60,0,0
"FE3",1944,129,736,55,209,873,0,16,2,12,7,87,48,115,2,0,0,38,143,5,0
"FE4",36,1,20,0,0,97,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0
"FE5",52,1,196,46,12,24,0,5,0,0,0,4,21,0,0,0,0,0,58,0,0
"FE6",72,20,32,387,3,23,0,1,1,2,0,3,132,0,0,0,0,5,61,0,0
"FO1",3,5,4,0,2,0,0,58,0,0,10,7,0,0,0,0,0,6,0,0,0
"MF1",17,24,8,0,8,2,3,16,8,2,85,31,10,50,0,0,0,90,0,6,0
"MJ1",415,243,25,16,65,43,6,24,6,53,43,115,64,486,0,6,1,132,86,10,0
"MJ2",139,914,9,12,63,0,44,88,149,476,227,690,241,1272,2,85,0,536,141,258,8
"MS1",77,191,1,0,0,4,36,60,208,232,104,252,11,540,3,7,4,100,15,73,0
"MS2",5,50,1,0,0,0,632,324,1558,1515,466,1060,85,18,16,140,21,59,19,662,16
"MS6",0,130,0,0,0,0,36,26,72,106,47,302,8,0,4,14,4,29,6,65,2
"RB1",0,3,0,0,0,0,0,15,2,6,83,24,5,2,0,0,0,17,0,4,2
"RC3",0,7,0,0,0,0,3,4,1,5,1,9,0,5,0,0,0,309,0,8,0
"RE1",0,0,0,0,0,0,4,182,0,0,4,0,0,0,517,138,29,0,0,2,96
"RE2",0,4,0,0,0,0,77,815,20,38,37,31,11,0,2499,1332,594,9,9,361,605
"RE3",1,2,3,0,0,0,32,184,11,7,70,4,0,2,1526,62,225,12,0,55,14
"RP1",0,13,0,2,2,2,5,2,1,4,8,8,524,1,2,10,2,45,2,70,0
"RS1",8,23,0,0,7,1,12,9,3,29,19,175,24,8,1,0,3,903,12,29,0
"RS2",3,23,0,0,0,0,1735,319,175,236,131,236,45,8,500,356,1339,39,12,1324,47
"RS3",0,18,0,0,0,0,156,73,97,51,95,30,0,4,134,3,205,51,0,157,0
"RS5",0,12,0,0,0,0,13,11,15,12,138,19,11,6,0,8,0,31,5,16,0
"RT1",4,113,2,12,190,1,0,1,0,0,0,5,22,7,0,0,0,5,6,0,0
