"clust","err","MAXerr","Freq&ERR(%)_1","Freq&ERR(%)_2","Freq&ERR(%)_3","Freq&ERR(%)_4","Freq&ERR(%)_5","Freq&ERR(%)_6","Freq&ERR(%)_7","Freq&ERR(%)_8","Freq&ERR(%)_9","Freq&ERR(%)_10","Freq&ERR(%)_11","Freq&ERR(%)_12","Freq&ERR(%)_13","Freq&ERR(%)_14","Freq&ERR(%)_15","Freq&ERR(%)_16","Freq&ERR(%)_17","Freq&ERR(%)_18","Freq&ERR(%)_19","Freq&ERR(%)_20","Freq&ERR(%)_21","varImportance_1","varImportance_2","varImportance_3","varImportance_4","varImportance_5","varImportance_6","varImportance_7","varImportance_8","varImportance_9","varImportance_10","varImportance_11","varImportance_12","varImportance_13","varImportance_14","varImportance_15","varImportance_16","varImportance_17","varImportance_18","varImportance_19","varImportance_20","varImportance_21","varImportance_22"
21,8.81,28.12,"2439 (8.82)","1942 (15.86)","1622 (11.1)","709 (6.91)","1311 (9.31)","2407 (6.81)","605 (11.4)","2164 (8.32)","2279 (5.48)","4217 (9.3)","3045 (9.43)","1952 (19.06)","1684 (15.97)","1359 (20.82)","4003 (5.35)","1313 (7.46)","6450 (3.29)","441 (28.12)","2288 (4.9)","615 (15.12)","1806 (3.54)","ABIBAL (5453)","PICMAR (5259)","POPTRE (3257)","BETPAP (2894)","ACESAC (2522)","BETALL (2397)","THUOCC (2181)","ACERUB (1978)","PINBAN (1781)","PICGLA (1600)","FAGGRA (1195)","PINSTR (1174)","TSUCAN (739)","PICRUB (727)","QUERUB (721)","POPGRA (681)","FRANIG (482)","PRUPEN (351)","TILAME (343)","LARLAR (282)","POPBAL (165)","PINRES (129)"
20,8.46,28.34,"2439 (8.69)","1942 (16.43)","1622 (11.34)","709 (6.77)","1311 (9.23)","2407 (7.31)","605 (11.4)","2164 (8.36)","2279 (5.53)","4217 (10.29)","3045 (9.23)","3636 (10.92)","1359 (21.12)","4003 (5.3)","1313 (7.62)","6450 (3.41)","441 (28.34)","2288 (4.72)","615 (16.42)","1806 (4.32)",NA,"PICMAR (5294)","ABIBAL (5256)","POPTRE (3353)","BETPAP (3006)","ACESAC (2576)","BETALL (2440)","THUOCC (2231)","ACERUB (2007)","PINBAN (1784)","PICGLA (1498)","FAGGRA (1196)","PINSTR (1178)","TSUCAN (739)","PICRUB (738)","QUERUB (723)","POPGRA (690)","FRANIG (486)","TILAME (343)","PRUPEN (341)","LARLAR (282)","POPBAL (170)","PINRES (128)"
19,8.2,28.34,"4061 (6.08)","1942 (16.99)","709 (7.48)","1311 (10.07)","2407 (7.23)","605 (11.9)","2164 (8.41)","2279 (5.57)","4217 (10.08)","3045 (9.49)","3636 (10.89)","1359 (21.93)","4003 (5.45)","1313 (7.31)","6450 (3.35)","441 (28.34)","2288 (4.85)","615 (15.61)","1806 (4.1)",NA,NA,"PICMAR (5384)","ABIBAL (5165)","POPTRE (3360)","ACESAC (3073)","BETPAP (2969)","THUOCC (2234)","BETALL (2170)","ACERUB (1876)","PINBAN (1772)","PICGLA (1480)","FAGGRA (1280)","PINSTR (1190)","QUERUB (754)","TSUCAN (751)","PICRUB (734)","POPGRA (679)","FRANIG (443)","PRUPEN (326)","LARLAR (280)","TILAME (198)","POPBAL (170)","PINRES (131)"
18,8.08,21.67,"4061 (6.08)","1942 (16.99)","709 (6.91)","1311 (10.07)","2407 (7.4)","605 (12.4)","2164 (7.81)","2279 (5.44)","4217 (9.98)","3045 (9.46)","3636 (10.95)","1800 (21.67)","4003 (5.45)","1313 (7.31)","6450 (3.32)","2288 (4.85)","615 (16.1)","1806 (3.93)",NA,NA,NA,"PICMAR (5332)","ABIBAL (5195)","POPTRE (3384)","ACESAC (3091)","BETPAP (2995)","THUOCC (2238)","BETALL (2154)","ACERUB (1864)","PINBAN (1793)","PICGLA (1472)","FAGGRA (1270)","PINSTR (1192)","QUERUB (758)","TSUCAN (754)","PICRUB (727)","POPGRA (680)","FRANIG (429)","PRUPEN (327)","LARLAR (291)","TILAME (195)","POPBAL (160)","PINRES (130)"
17,8.08,22.06,"4061 (6.4)","2557 (14.67)","709 (7.48)","1311 (10.45)","2407 (7.4)","605 (12.56)","2164 (8.36)","2279 (5.53)","4217 (10.27)","3045 (9.13)","3636 (10.84)","1800 (22.06)","4003 (5.55)","1313 (7.24)","6450 (3.43)","2288 (4.94)","1806 (3.88)",NA,NA,NA,NA,"PICMAR (5402)","ABIBAL (5165)","POPTRE (3371)","ACESAC (3088)","BETPAP (2967)","THUOCC (2236)","BETALL (2153)","ACERUB (1940)","PINBAN (1781)","PICGLA (1474)","FAGGRA (1278)","PINSTR (1194)","QUERUB (755)","TSUCAN (750)","PICRUB (730)","POPGRA (571)","FRANIG (436)","PRUPEN (326)","LARLAR (286)","TILAME (191)","POPBAL (158)","PINRES (132)"
16,8,21.39,"4061 (6.35)","2557 (14.67)","1314 (8.37)","1311 (10.3)","2407 (7.48)","2164 (8.18)","2279 (5.57)","4217 (9.98)","3045 (9.03)","3636 (10.95)","1800 (21.39)","4003 (5.65)","1313 (8.23)","6450 (3.22)","2288 (4.85)","1806 (4.32)",NA,NA,NA,NA,NA,"PICMAR (5405)","ABIBAL (5174)","POPTRE (3346)","ACESAC (3100)","BETPAP (2987)","THUOCC (2239)","BETALL (2165)","ACERUB (1924)","PINBAN (1782)","PICGLA (1470)","FAGGRA (1283)","PINSTR (1194)","QUERUB (753)","PICRUB (728)","TSUCAN (722)","POPGRA (577)","FRANIG (433)","PRUPEN (326)","LARLAR (287)","TILAME (182)","POPBAL (159)","PINRES (130)"
15,7.62,21.94,"5372 (3.59)","2557 (14.55)","1314 (9.06)","2407 (7.85)","2164 (8.6)","2279 (5.53)","4217 (9.96)","3045 (9.26)","3636 (11.06)","1800 (21.94)","4003 (5.75)","1313 (7.08)","6450 (3.21)","2288 (4.98)","1806 (4.15)",NA,NA,NA,NA,NA,NA,"PICMAR (5436)","ABIBAL (5099)","ACESAC (3695)","POPTRE (3359)","BETPAP (2977)","THUOCC (2246)","BETALL (2167)","ACERUB (1905)","PINBAN (1784)","PICGLA (1469)","PINSTR (1211)","QUERUB (763)","TSUCAN (752)","PICRUB (721)","FAGGRA (594)","POPGRA (548)","FRANIG (430)","PRUPEN (325)","LARLAR (284)","POPBAL (159)","TILAME (132)","PINRES (132)"
14,7.24,21.5,"5372 (3.43)","2557 (15.17)","1314 (8.9)","2407 (7.69)","6381 (6.16)","2279 (5.53)","3045 (9.23)","3636 (11.63)","1800 (21.5)","4003 (5.85)","1313 (8.15)","6450 (3.13)","2288 (5.16)","1806 (4.87)",NA,NA,NA,NA,NA,NA,NA,"PICMAR (5782)","ABIBAL (5078)","ACESAC (3694)","POPTRE (3349)","BETPAP (2905)","THUOCC (2234)","BETALL (2227)","ACERUB (1921)","PINBAN (1852)","PICGLA (1407)","PINSTR (1239)","QUERUB (768)","TSUCAN (752)","PICRUB (747)","FAGGRA (578)","POPGRA (549)","FRANIG (434)","PRUPEN (329)","LARLAR (282)","POPBAL (159)","TILAME (135)","PINRES (134)"
13,7.21,15.25,"5372 (3.5)","2557 (15.25)","1314 (8.3)","2407 (8.1)","6381 (6.3)","2279 (5.79)","3045 (9.39)","3636 (11.83)","3113 (14.68)","4003 (5.8)","6450 (3.13)","2288 (4.98)","1806 (4.49)",NA,NA,NA,NA,NA,NA,NA,NA,"PICMAR (5767)","ABIBAL (5095)","ACESAC (3774)","POPTRE (3346)","BETPAP (2916)","THUOCC (2240)","BETALL (2219)","ACERUB (1924)","PINBAN (1836)","PICGLA (1428)","PINSTR (1155)","QUERUB (763)","TSUCAN (749)","PICRUB (717)","FAGGRA (552)","POPGRA (546)","FRANIG (427)","PRUPEN (334)","LARLAR (277)","POPBAL (155)","TILAME (133)","PINRES (123)"
