"","1","2","3","4","5","6","7","8","9","10","11","12","13"
"FC1",9,0,116,0,1,0,0,0,0,0,0,0,0
"FE1",31,0,16,0,1,0,0,3,6,0,0,4,0
"FE2",1047,47,124,0,16,6,4,21,9,1,0,11,0
"FE3",3762,129,246,0,16,9,12,87,115,2,0,38,5
"FE4",153,1,1,0,0,0,0,0,2,0,0,0,0
"FE5",284,1,125,0,5,0,0,4,0,0,0,0,0
"FE6",130,20,580,0,1,1,2,3,0,0,0,5,0
"FO1",9,5,0,0,58,10,0,7,0,0,0,6,0
"MF1",35,24,10,3,16,93,2,31,50,0,0,90,6
"MJ1",548,243,166,6,24,49,53,115,486,1,6,132,10
"MJ2",211,914,394,44,88,376,476,690,1272,2,93,536,258
"MS1",82,191,26,36,60,312,232,252,540,7,7,100,73
"MS2",6,50,104,632,324,2024,1515,1060,18,37,156,59,662
"MS6",0,130,14,36,26,119,106,302,0,8,16,29,65
"RB1",0,3,5,0,15,85,6,24,2,0,2,17,4
"RC3",0,7,0,3,4,2,5,9,5,0,0,309,8
"RE1",0,0,0,4,182,4,0,0,0,546,234,0,2
"RE2",0,4,20,77,815,57,38,31,0,3093,1937,9,361
"RE3",4,2,0,32,184,81,7,4,2,1751,76,12,55
"RP1",4,13,528,5,2,9,4,8,1,4,10,45,70
"RS1",16,23,36,12,9,22,29,175,8,4,0,903,29
"RS2",3,23,57,1735,319,306,236,236,8,1839,403,39,1324
"RS3",0,18,0,156,73,192,51,30,4,339,3,51,157
"RS5",0,12,16,13,11,153,12,19,6,0,8,31,16
"RT1",197,113,40,0,1,0,0,5,7,0,0,5,0
